index,name,desc,higher_level,range,components,material,ritual,duration,concentration,casting_time,level,attack_type,classes,subclasses,url,damage.damage_type.index,damage.damage_type.name,damage.damage_type.url,damage.damage_at_slot_level.2,damage.damage_at_slot_level.3,damage.damage_at_slot_level.4,damage.damage_at_slot_level.5,damage.damage_at_slot_level.6,damage.damage_at_slot_level.7,damage.damage_at_slot_level.8,damage.damage_at_slot_level.9,school.index,school.name,school.url,damage.damage_at_character_level.1,damage.damage_at_character_level.5,damage.damage_at_character_level.11,damage.damage_at_character_level.17,dc.dc_type.index,dc.dc_type.name,dc.dc_type.url,dc.dc_success,heal_at_slot_level.2,heal_at_slot_level.3,heal_at_slot_level.4,heal_at_slot_level.5,heal_at_slot_level.6,heal_at_slot_level.7,heal_at_slot_level.8,heal_at_slot_level.9,area_of_effect.type,area_of_effect.size,dc.desc,damage.damage_at_slot_level.1,heal_at_slot_level.1
comprehend-languages,Comprehend Languages,"['For the duration, you understand the literal meaning of any spoken language that you hear. You also understand any written language that you see, but you must be touching the surface on which the words are written. It takes about 1 minute to read one page of text.', ""This spell doesn't decode secret messages in a text or a glyph, such as an arcane sigil, that isn't part of a written language.""]",,Self,"['V', 'S', 'M']",A pinch of soot and salt.,True,1 hour,False,1 action,1,,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'sorcerer', 'name': 'Sorcerer', 'url': '/api/classes/sorcerer'}, {'index': 'warlock', 'name': 'Warlock', 'url': '/api/classes/warlock'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",/api/spells/comprehend-languages,,,,,,,,,,,,divination,Divination,/api/magic-schools/divination,,,,,,,,,,,,,,,,,,,,,
compulsion,Compulsion,"[""Creatures of your choice that you can see within range and that can hear you must make a wisdom saving throw. A target automatically succeeds on this saving throw if it can't be charmed. On a failed save, a target is affected by this spell. Until the spell ends, you can use a bonus action on each of your turns to designate a direction that is horizontal to you. Each affected target must use as much of its movement as possible to move in that direction on its next turn. It can take any action before it moves. After moving in this way, it can make another Wisdom save to try to end the effect."", ""A target isn't compelled to move into an obviously deadly hazard, such as a fire or a pit, but it will provoke opportunity attacks to move in the designated direction.""]",,30 feet,"['V', 'S']",,False,Up to 1 minute,True,1 action,4,,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}]",[],/api/spells/compulsion,,,,,,,,,,,,enchantment,Enchantment,/api/magic-schools/enchantment,,,,,wis,WIS,/api/ability-scores/wis,none,,,,,,,,,,,,,
cone-of-cold,Cone of Cold,"['A blast of cold air erupts from your hands. Each creature in a 60-foot cone must make a constitution saving throw. A creature takes 8d8 cold damage on a failed save, or half as much damage on a successful one.', 'A creature killed by this spell becomes a frozen statue until it thaws.']","['When you cast this spell using a spell slot of 6th level or higher, the damage increases by 1d8 for each slot level above 5th.']",Self,"['V', 'S', 'M']",A small crystal or glass cone.,False,Instantaneous,False,1 action,5,,"[{'index': 'sorcerer', 'name': 'Sorcerer', 'url': '/api/classes/sorcerer'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'land', 'name': 'Land', 'url': '/api/subclasses/land'}]",/api/spells/cone-of-cold,cold,Cold,/api/damage-types/cold,,,,8d8,9d8,10d8,11d8,12d8,evocation,Evocation,/api/magic-schools/evocation,,,,,con,CON,/api/ability-scores/con,half,,,,,,,,,cone,60.0,A creature killed by this spell becomes a frozen statue until it thaws.,,
confusion,Confusion,"[""This spell assaults and twists creatures' minds, spawning delusions and provoking uncontrolled action. Each creature in a 10-foot-radius sphere centered on a point you choose within range must succeed on a Wisdom saving throw when you cast this spell or be affected by it."", ""An affected target can't take reactions and must roll a d10 at the start of each of its turns to determine its behavior for that turn."", '| d10 | Behavior |', '|---|---|', ""| 1 | The creature uses all its movement to move in a random direction. To determine the direction, roll a d8 and assign a direction to each die face. The creature doesn't take an action this turn. |"", ""| 2-6 | The creature doesn't move or take actions this turn. |"", '| 7-8 | The creature uses its action to make a melee attack against a randomly determined creature within its reach. If there is no creature within its reach, the creature does nothing this turn. |', '| 9-10 | The creature can act and move normally. |', 'At the end of each of its turns, an affected target can make a Wisdom saving throw. If it succeeds, this effect ends for that target.']","['When you cast this spell using a spell slot of 5th level or higher, the radius of the sphere increases by 5 feet for each slot level above 4th.']",90 feet,"['V', 'S', 'M']",Three walnut shells.,False,Up to 1 minute,True,1 action,4,,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'sorcerer', 'name': 'Sorcerer', 'url': '/api/classes/sorcerer'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]",[],/api/spells/confusion,,,,,,,,,,,,enchantment,Enchantment,/api/magic-schools/enchantment,,,,,wis,WIS,/api/ability-scores/wis,none,,,,,,,,,sphere,10.0,,,
conjure-animals,Conjure Animals,"['You summon fey spirits that take the form of beasts and appear in unoccupied spaces that you can see within range. Choose one of the following options for what appears:', '- One beast of challenge rating 2 or lower', '- Two beasts of challenge rating 1 or lower', '- Four beasts of challenge rating 1/2 or lower', '- Eight beasts of challenge rating 1/4 or lower', '- Each beast is also considered fey, and it disappears when it drops to 0 hit points or when the spell ends.', ""The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a group, which has its own turns. They obey any verbal commands that you issue to them (no action required by you). If you don't issue any commands to them, they defend themselves from hostile creatures, but otherwise take no actions."", ""The DM has the creatures' statistics.""]","['When you cast this spell using certain higher-level spell slots, you choose one of the summoning options above, and more creatures appear: twice as many with a 5th-level slot, three times as many with a 7th-level.']",60 feet,"['V', 'S']",,False,Up to 1 hour,True,1 action,3,,"[{'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'ranger', 'name': 'Ranger', 'url': '/api/classes/ranger'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",/api/spells/conjure-animals,,,,,,,,,,,,conjuration,Conjuration,/api/magic-schools/conjuration,,,,,,,,,,,,,,,,,,,,,
conjure-celestial,Conjure Celestial,"['You summon a celestial of challenge rating 4 or lower, which appears in an unoccupied space that you can see within range. The celestial disappears when it drops to 0 hit points or when the spell ends.', ""The celestial is friendly to you and your companions for the duration. Roll initiative for the celestial, which has its own turns. It obeys any verbal commands that you issue to it (no action required by you), as long as they don't violate its alignment. If you don't issue any commands to the celestial, it defends itself from hostile creatures but otherwise takes no actions."", ""The DM has the celestial's statistics.""]","['When you cast this spell using a 9th-level spell slot, you summon a celestial of challenge rating 5 or lower.']",90 feet,"['V', 'S']",,False,Up to 1 hour,True,1 minute,7,,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}]",[],/api/spells/conjure-celestial,,,,,,,,,,,,conjuration,Conjuration,/api/magic-schools/conjuration,,,,,,,,,,,,,,,,,,,,,
conjure-elemental,Conjure Elemental,"['You call forth an elemental servant. Choose an area of air, earth, fire, or water that fills a 10-foot cube within range. An elemental of challenge rating 5 or lower appropriate to the area you chose appears in an unoccupied space within 10 feet of it. For example, a fire elemental emerges from a bonfire, and an earth elemental rises up from the ground. The elemental disappears when it drops to 0 hit points or when the spell ends.', ""The elemental is friendly to you and your companions for the duration. Roll initiative for the elemental, which has its own turns. It obeys any verbal commands that you issue to it (no action required by you). If you don't issue any commands to the elemental, it defends itself from hostile creatures but otherwise takes no actions."", ""If your concentration is broken, the elemental doesn't disappear. Instead, you lose control of the elemental, it becomes hostile toward you and your companions, and it might attack. An uncontrolled elemental can't be dismissed by you, and it disappears 1 hour after you summoned it."", ""The DM has the elemental's statistics.""]","['When you cast this spell using a spell slot of 6th level or higher, the challenge rating increases by 1 for each slot level above 5th.']",90 feet,"['V', 'S', 'M']","Burning incense for air, soft clay for earth, sulfur and phosphorus for fire, or water and sand for water.",False,Up to 1 hour,True,1 minute,5,,"[{'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'land', 'name': 'Land', 'url': '/api/subclasses/land'}]",/api/spells/conjure-elemental,,,,,,,,,,,,conjuration,Conjuration,/api/magic-schools/conjuration,,,,,,,,,,,,,,,,,cube,10.0,,,
conjure-fey,Conjure Fey,"['You summon a fey creature of challenge rating 6 or lower, or a fey spirit that takes the form of a beast of challenge rating 6 or lower. It appears in an unoccupied space that you can see within range. The fey creature disappears when it drops to 0 hit points or when the spell ends.', ""The fey creature is friendly to you and your companions for the duration. Roll initiative for the creature, which has its own turns. It obeys any verbal commands that you issue to it (no action required by you), as long as they don't violate its alignment. If you don't issue any commands to the fey creature, it defends itself from hostile creatures but otherwise takes no actions."", ""If your concentration is broken, the fey creature doesn't disappear. Instead, you lose control of the fey creature, it becomes hostile toward you and your companions, and it might attack. An uncontrolled fey creature can't be dismissed by you, and it disappears 1 hour after you summoned it."", ""The DM has the fey creature's statistics.""]","['When you cast this spell using a spell slot of 7th level or higher, the challenge rating increases by 1 for each slot level above 6th.']",90 feet,"['V', 'S']",,False,Up to 1 hour,True,1 minute,6,,"[{'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'warlock', 'name': 'Warlock', 'url': '/api/classes/warlock'}]",[],/api/spells/conjure-fey,,,,,,,,,,,,conjuration,Conjuration,/api/magic-schools/conjuration,,,,,,,,,,,,,,,,,,,,,
conjure-minor-elementals,Conjure Minor Elementals,"['You summon elementals that appear in unoccupied spaces that you can see within range. You choose one the following options for what appears:', '- One elemental of challenge rating 2 or lower', '- Two elementals of challenge rating 1 or lower', '- Four elementals of challenge rating 1/2 or lower', '- Eight elementals of challenge rating 1/4 or lower.', 'An elemental summoned by this spell disappears when it drops to 0 hit points or when the spell ends.', ""The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a group, which has its own turns. They obey any verbal commands that you issue to them (no action required by you). If you don't issue any commands to them, they defend themselves from hostile creatures, but otherwise take no actions."", ""The DM has the creatures' statistics.""]","['When you cast this spell using certain higher-level spell slots, you choose one of the summoning options above, and more creatures appear: twice as many with a 6th-level slot and three times as many with an 8th-level slot.']",90 feet,"['V', 'S']",,False,Up to 1 hour,True,1 minute,4,,"[{'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]",[],/api/spells/conjure-minor-elementals,,,,,,,,,,,,conjuration,Conjuration,/api/magic-schools/conjuration,,,,,,,,,,,,,,,,,,,,,
conjure-woodland-beings,Conjure Woodland Beings,"['You summon fey creatures that appear in unoccupied spaces that you can see within range. Choose one of the following options for what appears:', '- One fey creature of challenge rating 2 or lower', '- Two fey creatures of challenge rating 1 or lower', '- Four fey creatures of challenge rating 1/2 or lower', '- Eight fey creatures of challenge rating 1/4 or lower', 'A summoned creature disappears when it drops to 0 hit points or when the spell ends.', ""The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a group, which have their own turns. They obey any verbal commands that you issue to them (no action required by you). If you don't issue any commands to them, they defend themselves from hostile creatures, but otherwise take no actions."", ""The DM has the creatures' statistics.""]","['When you cast this spell using certain higher-level spell slots, you choose one of the summoning options above, and more creatures appear: twice as many with a 6th-level slot and three times as many with an 8th-level slot.']",60 feet,"['V', 'S', 'M']",One holly berry per creature summoned.,False,Up to 1 hour,True,1 action,4,,"[{'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'ranger', 'name': 'Ranger', 'url': '/api/classes/ranger'}]",[],/api/spells/conjure-woodland-beings,,,,,,,,,,,,conjuration,Conjuration,/api/magic-schools/conjuration,,,,,,,,,,,,,,,,,,,,,
contact-other-plane,Contact Other Plane,"[""You mentally contact a demigod, the spirit of a long-dead sage, or some other mysterious entity from another plane. Contacting this extraplanar intelligence can strain or even break your mind. When you cast this spell, make a DC 15 intelligence saving throw. On a failure, you take 6d6 psychic damage and are insane until you finish a long rest. While insane, you can't take actions, can't understand what other creatures say, can't read, and speak only in gibberish. A greater restoration spell cast on you ends this effect."", 'On a successful save, you can ask the entity up to five questions. You must ask your questions before the spell ends. The DM answers each question with one word, such as ""yes,"" ""no,"" ""maybe,"" ""never,"" ""irrelevant,"" or ""unclear"" (if the entity doesn\'t know the answer to the question). If a one-word answer would be misleading, the DM might instead offer a short phrase as an answer.']",,Self,['V'],,True,1 minute,False,1 minute,5,,"[{'index': 'warlock', 'name': 'Warlock', 'url': '/api/classes/warlock'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]",[],/api/spells/contact-other-plane,,,,,,,,,,,,divination,Divination,/api/magic-schools/divination,,,,,int,INT,/api/ability-scores/int,other,,,,,,,,,,,"On a failure, you take 6d6 psychic damage and are insane until you finish a long rest.",,
contagion,Contagion,"['Your touch inflicts disease. Make a melee spell attack against a creature within your reach. On a hit, you afflict the creature with a disease of your choice from any of the ones described below.', ""At the end of each of the target's turns, it must make a constitution saving throw. After failing three of these saving throws, the disease's effects last for the duration, and the creature stops making these saves. After succeeding on three of these saving throws, the creature recovers from the disease, and the spell ends."", ""Since this spell induces a natural disease in its target, any effect that removes a disease or otherwise ameliorates a disease's effects apply to it."", ""***Blinding Sickness.*** Pain grips the creature's mind, and its eyes turn milky white. The creature has disadvantage on wisdom checks and wisdom saving throws and is blinded."", ""***Filth Fever.*** A raging fever sweeps through the creature's body. The creature has disadvantage on strength checks, strength saving throws, and attack rolls that use Strength."", ""***Flesh Rot.*** The creature's flesh decays. The creature has disadvantage on Charisma checks and vulnerability to all damage."", ""***Mindfire.*** The creature's mind becomes feverish. The creature has disadvantage on intelligence checks and intelligence saving throws, and the creature behaves as if under the effects of the confusion spell during combat."", '***Seizure.*** The creature is overcome with shaking. The creature has disadvantage on dexterity checks, dexterity saving throws, and attack rolls that use Dexterity.', '***Slimy Doom.*** The creature begins to bleed uncontrollably. The creature has disadvantage on constitution checks and constitution saving throws. In addition, whenever the creature takes damage, it is stunned until the end of its next turn.']",,Touch,"['V', 'S']",,False,7 days,False,1 action,5,melee,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}]",[],/api/spells/contagion,,,,,,,,,,,,necromancy,Necromancy,/api/magic-schools/necromancy,,,,,con,CON,/api/ability-scores/con,other,,,,,,,,,,,"After succeeding on three of these saving throws, the creature recovers from the disease, and the spell ends.",,
contingency,Contingency,"[""Choose a spell of 5th level or lower that you can cast, that has a casting time of 1 action, and that can target you. You cast that spell--called the contingent spell--as part of casting contingency, expending spell slots for both, but the contingent spell doesn't come into effect. Instead, it takes effect when a certain circumstance occurs. You describe that circumstance when you cast the two spells. For example, a contingency cast with water breathing might stipulate that water breathing comes into effect when you are engulfed in water or a similar liquid."", 'The contingent spell takes effect immediately after the circumstance is met for the first time, whether or not you want it to. and then contingency ends.', 'The contingent spell takes effect only on you, even if it can normally target others. You can use only one contingency spell at a time. If you cast this spell again, the effect of another contingency spell on you ends. Also, contingency ends on you if its material component is ever not on your person.']",,Self,"['V', 'S', 'M']","A statuette of yourself carved from ivory and decorated with gems worth at least 1,500 gp.",False,10 days,False,10 minutes,6,,"[{'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]",[],/api/spells/contingency,,,,,,,,,,,,evocation,Evocation,/api/magic-schools/evocation,,,,,,,,,,,,,,,,,,,,,
continual-flame,Continual Flame,"[""A flame, equivalent in brightness to a torch, springs forth from an object that you touch. The effect looks like a regular flame, but it creates no heat and doesn't use oxygen. A continual flame can be covered or hidden but not smothered or quenched.""]",,Touch,"['V', 'S', 'M']","Ruby dust worth 50 gp, which the spell consumes.",False,Until dispelled,False,1 action,2,,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",/api/spells/continual-flame,,,,,,,,,,,,evocation,Evocation,/api/magic-schools/evocation,,,,,,,,,,,,,,,,,,,,,
control-water,Control Water,"['Until the spell ends, you control any freestanding water inside an area you choose that is a cube up to 100 feet on a side. You can choose from any of the following effects when you cast this spell. As an action on your turn, you can repeat the same effect or choose a different one.', '***Flood.*** You cause the water level of all standing water in the area to rise by as much as 20 feet. If the area includes a shore, the flooding water spills over onto dry land.', ""If you choose an area in a large body of water, you instead create a 20-foot tall wave that travels from one side of the area to the other and then crashes down. Any Huge or smaller vehicles in the wave's path are carried with it to the other side. Any Huge or smaller vehicles struck by the wave have a 25 percent chance of capsizing."", 'The water level remains elevated until the spell ends or you choose a different effect. If this effect produced a wave, the wave repeats on the start of your next turn while the flood effect lasts.', ""***Part Water.*** You cause water in the area to move apart and create a trench. The trench extends across the spell's area, and the separated water forms a wall to either side. The trench remains until the spell ends or you choose a different effect. The water then slowly fills in the trench over the course of the next round until the normal water level is restored."", ""***Redirect Flow.*** You cause flowing water in the area to move in a direction you choose, even if the water has to flow over obstacles, up walls, or in other unlikely directions. The water in the area moves as you direct it, but once it moves beyond the spell's area, it resumes its flow based on the terrain conditions. The water continues to move in the direction you chose until the spell ends or you choose a different effect."", '***Whirlpool.*** This effect requires a body of water at least 50 feet square and 25 feet deep. You cause a whirlpool to form in the center of the area. The whirlpool forms a vortex that is 5 feet wide at the base, up to 50 feet wide at the top, and 25 feet tall. Any creature or object in the water and within 25 feet of the vortex is pulled 10 feet toward it. A creature can swim away from the vortex by making a Strength (Athletics) check against your spell save DC.', ""When a creature enters the vortex for the first time on a turn or starts its turn there, it must make a strength saving throw. On a failed save, the creature takes 2d8 bludgeoning damage and is caught in the vortex until the spell ends. On a successful save, the creature takes half damage, and isn't caught in the vortex. A creature caught in the vortex can use its action to try to swim away from the vortex as described above, but has disadvantage on the Strength (Athletics) check to do so."", 'The first time each turn that an object enters the vortex, the object takes 2d8 bludgeoning damage; this damage occurs each round it remains in the vortex.']",,300 feet,"['V', 'S', 'M']",A drop of water and a pinch of dust.,False,Up to 10 minutes,True,1 action,4,,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]",[],/api/spells/control-water,bludgeoning,Bludgeoning,/api/damage-types/bludgeoning,,,2d8,,,,,,transmutation,Transmutation,/api/magic-schools/transmutation,,,,,str,STR,/api/ability-scores/str,half,,,,,,,,,cube,100.0,,,
control-weather,Control Weather,"[""You take control of the weather within 5 miles of you for the duration. You must be outdoors to cast this spell. Moving to a place where you don't have a clear path to the sky ends the spell early."", 'When you cast the spell, you change the current weather conditions, which are determined by the DM based on the climate and season. You can change precipitation, temperature, and wind. It takes 1d4 x 10 minutes for the new conditions to take effect. Once they do so, you can change the conditions again. When the spell ends, the weather gradually returns to normal.', 'When you change the weather conditions, find a current condition on the following tables and change its stage by one, up or down. When changing the wind, you can change its direction.', '##### Precipitation', '| Stage | Condition |', '|---|---|', '| 1 | Clear |', '| 2 | Light clouds |', '| 3 | Overcast or ground fog |', '| 4 | Rain, hail, or snow |', '| 5 | Torrential rain, driving hail, or blizzard |', '##### Temperature', '| Stage | Condition |', '|---|---|', '| 1 | Unbearable heat |', '| 2 | Hot |', '| 3 | Warm |', '| 4 | Cool |', '| 5 | Cold |', '| 6 | Arctic cold |', '##### Wind', '| Stage | Condition |', '|---|---|', '| 1 | Calm |', '| 2 | Moderate wind |', '| 3 | Strong wind |', '| 4 | Gale |', '| 5 | Storm |']",,Self,"['V', 'S', 'M']",Burning incense and bits of earth and wood mixed in water.,False,Up to 8 hours,True,10 minutes,8,,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'land', 'name': 'Land', 'url': '/api/subclasses/land'}]",/api/spells/control-weather,,,,,,,,,,,,transmutation,Transmutation,/api/magic-schools/transmutation,,,,,,,,,,,,,,,,,,,,,
counterspell,Counterspell,"[""You attempt to interrupt a creature in the process of casting a spell. If the creature is casting a spell of 3rd level or lower, its spell fails and has no effect. If it is casting a spell of 4th level or higher, make an ability check using your spellcasting ability. The DC equals 10 + the spell's level. On a success, the creature's spell fails and has no effect.""]","['When you cast this spell using a spell slot of 4th level or higher, the interrupted spell has no effect if its level is less than or equal to the level of the spell slot you used.']",60 feet,['S'],,False,Instantaneous,False,1 reaction,3,,"[{'index': 'sorcerer', 'name': 'Sorcerer', 'url': '/api/classes/sorcerer'}, {'index': 'warlock', 'name': 'Warlock', 'url': '/api/classes/warlock'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]",[],/api/spells/counterspell,,,,,,,,,,,,abjuration,Abjuration,/api/magic-schools/abjuration,,,,,,,,,,,,,,,,,,,,,
create-food-and-water,Create Food and Water,"[""You create 45 pounds of food and 30 gallons of water on the ground or in containers within range, enough to sustain up to fifteen humanoids or five steeds for 24 hours. The food is bland but nourishing, and spoils if uneaten after 24 hours. The water is clean and doesn't go bad.""]",,30 feet,"['V', 'S']",,False,Instantaneous,False,1 action,3,,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'land', 'name': 'Land', 'url': '/api/subclasses/land'}]",/api/spells/create-food-and-water,,,,,,,,,,,,conjuration,Conjuration,/api/magic-schools/conjuration,,,,,,,,,,,,,,,,,,,,,
create-undead,Create Undead,"['You can cast this spell only at night. Choose up to three corpses of Medium or Small humanoids within range. Each corpse becomes a ghoul under your control. (The DM has game statistics for these creatures.)', 'As a bonus action on each of your turns, you can mentally command any creature you animated with this spell if the creature is within 120 feet of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete.', 'The creature is under your control for 24 hours, after which it stops obeying any command you have given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature before the current 24-hour period ends. This use of the spell reasserts your control over up to three creatures you have animated with this spell, rather than animating new ones.']","['When you cast this spell using a 7th-level spell slot, you can animate or reassert control over four ghouls. When you cast this spell using an 8th-level spell slot, you can animate or reassert control over five ghouls or two ghasts or wights. When you cast this spell using a 9th-level spell slot, you can animate or reassert control over six ghouls, three ghasts or wights, or two mummies.']",10 feet,"['V', 'S', 'M']","One clay pot filled with grave dirt, one clay pot filled with brackish water, and one 150 gp black onyx stone for each corpse.",False,Instantaneous,False,1 minute,6,,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'warlock', 'name': 'Warlock', 'url': '/api/classes/warlock'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]",[],/api/spells/create-undead,,,,,,,,,,,,necromancy,Necromancy,/api/magic-schools/necromancy,,,,,,,,,,,,,,,,,,,,,
create-or-destroy-water,Create or Destroy Water,"['You either create or destroy water.', '***Create Water.*** You create up to 10 gallons of clean water within range in an open container. Alternatively, the water falls as rain in a 30-foot cube within range.', '***Destroy Water.*** You destroy up to 10 gallons of water in an open container within range. Alternatively, you destroy fog in a 30-foot cube within range.']","['When you cast this spell using a spell slot of 2nd level or higher, you create or destroy 10 additional gallons of water, or the size of the cube increases by 5 feet, for each slot level above 1st.']",30 feet,"['V', 'S', 'M']","A drop of water if creating water, or a few grains of sand if destroying it.",False,Instantaneous,False,1 action,1,,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",/api/spells/create-or-destroy-water,,,,,,,,,,,,transmutation,Transmutation,/api/magic-schools/transmutation,,,,,,,,,,,,,,,,,cube,30.0,,,
creation,Creation,"['You pull wisps of shadow material from the Shadowfell to create a nonliving object of vegetable matter within range: soft goods, rope, wood, or something similar. You can also use this spell to create mineral objects such as stone, crystal, or metal. The object created must be no larger than a 5-foot cube, and the object must be of a form and material that you have seen before.', ""The duration depends on the object's material. If the object is composed of multiple materials, use the shortest duration."", '| Material | Duration |', '|---|---|', '| Vegetable matter | 1 day |', '| Stone or crystal | 12 hours |', '| Precious metals | 1 hour |', '| Gems | 10 minutes |', '| Adamantine or mithral | 1 minute |', ""Using any material created by this spell as another spell's material component causes that spell to fail.""]","['When you cast this spell using a spell slot of 6th level or higher, the cube increases by 5 feet for each slot level above 5th.']",30 feet,"['V', 'S', 'M']",A tiny piece of matter of the same type of the item you plan to create.,False,Special,False,1 minute,5,,"[{'index': 'sorcerer', 'name': 'Sorcerer', 'url': '/api/classes/sorcerer'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]",[],/api/spells/creation,,,,,,,,,,,,illusion,Illusion,/api/magic-schools/illusion,,,,,,,,,,,,,,,,,cube,5.0,,,
cure-wounds,Cure Wounds,['A creature you touch regains a number of hit points equal to 1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs.'],"['When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d8 for each slot level above 1st.']",Touch,"['V', 'S']",,False,Instantaneous,False,1 action,1,,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}, {'index': 'ranger', 'name': 'Ranger', 'url': '/api/classes/ranger'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'life', 'name': 'Life', 'url': '/api/subclasses/life'}]",/api/spells/cure-wounds,,,,,,,,,,,,evocation,Evocation,/api/magic-schools/evocation,,,,,,,,,2d8 + MOD,3d8 + MOD,4d8 + MOD,5d8 + MOD,6d8 + MOD,7d8 + MOD,8d8 + MOD,9d8 + MOD,,,,,1d8 + MOD
dancing-lights,Dancing Lights,"['You create up to four torch-sized lights within range, making them appear as torches, lanterns, or glowing orbs that hover in the air for the duration. You can also combine the four lights into one glowing vaguely humanoid form of Medium size. Whichever form you choose, each light sheds dim light in a 10-foot radius.', ""As a bonus action on your turn, you can move the lights up to 60 feet to a new spot within range. A light must be within 20 feet of another light created by this spell, and a light winks out if it exceeds the spell's range.""]",,120 feet,"['V', 'S', 'M']","A bit of phosphorus or wychwood, or a glowworm.",False,Up to 1 minute,True,1 action,0,,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'sorcerer', 'name': 'Sorcerer', 'url': '/api/classes/sorcerer'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",/api/spells/dancing-lights,,,,,,,,,,,,evocation,Evocation,/api/magic-schools/evocation,,,,,,,,,,,,,,,,,,,,,
